idx,price(GBP),weight,process,destination,roast,blend,arabica_robusta,origin,weight(g),price_per_kg
259,7.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,"Papua Nowa Gwinea, Rwanda",250,28.8
260,9,200 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,200,45
261,8.4,200 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,200,42
262,9,200 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,200,45
263,8.6,200 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,200,43
264,6.3,200 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Indonezja,200,31.5
265,9.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,39.2
266,11.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Chiny,250,47.2
267,12.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,49.6
268,9.8,250 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,250,39.2
269,10.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,40.8
270,10.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,41.6
271,10.2,250 g,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,40.8
272,10,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,40
273,6.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Robusta,Indie,250,27.2
274,13.8,500 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,500,27.6
275,13.8,500 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Meksyk,500,27.6
276,9.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,250,36.8
277,7.2,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,28.8
278,7,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,28
279,7,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,28
