idx,process,brewing method,roast,grind,origin,price_per_kg,arabica (%),Pure arabica,roast_brew
226,Washed,drip (alternative brewing methods),light,beans,Rwanda,42.4,100,True,light_drip (alternative brewing methods)
227,Natural,drip (alternative brewing methods),light,beans,Brazylia,57.5,100,True,light_drip (alternative brewing methods)
228,Washed,drip (alternative brewing methods),light,beans,Kenia,60.0,100,True,light_drip (alternative brewing methods)
229,Washed,drip (alternative brewing methods),light,beans,Honduras,52.8,100,True,light_drip (alternative brewing methods)
230,Washed,drip (alternative brewing methods),light,beans,Kenia,55.2,100,True,light_drip (alternative brewing methods)
231,Washed,drip (alternative brewing methods),light,beans,Kenia,63.2,100,True,light_drip (alternative brewing methods)
232,Washed,drip (alternative brewing methods),light,beans,Peru,40.8,100,True,light_drip (alternative brewing methods)
233,Washed,drip (alternative brewing methods),light,beans,Kenia,50.4,100,True,light_drip (alternative brewing methods)
234,Natural,drip (alternative brewing methods),light,beans,Kolumbia,50.4,100,True,light_drip (alternative brewing methods)
235,Washed,drip (alternative brewing methods),light,beans,Mixed origin,27.0,100,True,light_drip (alternative brewing methods)
236,Washed,drip (alternative brewing methods),light,beans,Kenia,46.4,100,True,light_drip (alternative brewing methods)
237,Washed,drip (alternative brewing methods),light,beans,Rwanda,43.2,100,True,light_drip (alternative brewing methods)
238,Washed,drip (alternative brewing methods),light,beans,Kolumbia,34.72,100,True,light_drip (alternative brewing methods)
239,Washed,drip (alternative brewing methods),light,beans,Kolumbia,34.72,100,True,light_drip (alternative brewing methods)
240,Red Honey,drip (alternative brewing methods),light,beans,Indie,35.84,100,True,light_drip (alternative brewing methods)
241,Washed,drip (alternative brewing methods),light,beans,Rwanda,31.36,100,True,light_drip (alternative brewing methods)
242,Washed,drip (alternative brewing methods),light,beans,Gwatemala,44.0,100,True,light_drip (alternative brewing methods)
243,Natural,drip (alternative brewing methods),light,beans,Nikaragua,43.2,100,True,light_drip (alternative brewing methods)
244,Washed,drip (alternative brewing methods),light,beans,Rwanda,48.0,100,True,light_drip (alternative brewing methods)
245,Washed,drip (alternative brewing methods),light,beans,Gwatemala,33.0,100,True,light_drip (alternative brewing methods)
246,Washed,drip (alternative brewing methods),light,beans,Kolumbia,51.2,100,True,light_drip (alternative brewing methods)
247,Natural,drip (alternative brewing methods),light,beans,Nikaragua,34.56,100,True,light_drip (alternative brewing methods)
248,Natural,drip (alternative brewing methods),light,ground,Honduras,57.27,100,True,light_drip (alternative brewing methods)
249,Natural,drip (alternative brewing methods),light,beans,Rwanda,52.8,100,True,light_drip (alternative brewing methods)
250,Washed,drip (alternative brewing methods),light,beans,Rwanda,45.6,100,True,light_drip (alternative brewing methods)
251,Anaerobic,drip (alternative brewing methods),light,beans,Brazylia,48.0,100,True,light_drip (alternative brewing methods)
252,Washed,drip (alternative brewing methods),light,beans,Honduras,38.4,100,True,light_drip (alternative brewing methods)
253,Washed,drip (alternative brewing methods),light,beans,Kenia,40.0,100,True,light_drip (alternative brewing methods)
254,Washed,drip (alternative brewing methods),light,beans,Kenia,41.6,100,True,light_drip (alternative brewing methods)
255,Washed,drip (alternative brewing methods),light,beans,Kenia,45.6,100,True,light_drip (alternative brewing methods)
256,Washed,drip (alternative brewing methods),light,beans,Kenia,40.0,100,True,light_drip (alternative brewing methods)
257,Washed,drip (alternative brewing methods),light,beans,Peru,35.2,100,True,light_drip (alternative brewing methods)
258,Natural,drip (alternative brewing methods),light,beans,Kolumbia,33.28,100,True,light_drip (alternative brewing methods)
259,Washed,drip (alternative brewing methods),light,beans,Mixed origin,28.8,100,True,light_drip (alternative brewing methods)
260,Natural,drip (alternative brewing methods),light,beans,Kolumbia,45.0,100,True,light_drip (alternative brewing methods)
261,Washed,drip (alternative brewing methods),light,beans,Kolumbia,42.0,100,True,light_drip (alternative brewing methods)
262,Honey,drip (alternative brewing methods),light,beans,Salwador,45.0,100,True,light_drip (alternative brewing methods)
